307110,We Need To Go Deeper,15.99,15.99,2019-08-01
913740,WORLD OF HORROR,14.99,14.99,2020-02-20
606150,Moonlighter,19.99,19.99,2018-05-29
293780,Crawl,14.99,14.99,2017-04-11
1618380,Spellmasons,19.99,19.99,2023-01-31
1178790,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,19.99,9.99,2020-12-02
1676130,Deadlink,19.99,19.99,2022-10-18
1434950,HighFleet,29.99,29.99,2021-07-27
718670,Cultist Simulator,19.99,19.99,2018-05-31
1076200,Roguebook,24.99,24.99,2021-06-17
656350,UnderMine,19.99,12.99,2020-08-06
259680,Tales of Maj'Eyal,6.99,6.99,2016-02-23
1711610,Dungeon 100,11.99,9.59,2022-11-25
1286350,BPM: BULLETS PER MINUTE,19.99,19.99,2020-09-15
659540,Warsim: The Realm of Aslona,9.99,9.99,2022-12-20
1029210,30XX,19.99,19.99,2021-02-17
323220,Vagante,14.99,14.99,2018-02-21
688420,Bad North: Jotunn Edition,14.99,14.99,2018-11-16
2214500,X Invader: Prologue,0.00,0.00,2023-01-31
794600,LET IT DIE,0.00,0.00,2018-09-26
2135960,Rhythm Storm,0.00,0.00,2023-12-01
1518220,Spells & Secrets,0.00,0.00,2023-09-01
960690,One Step From Eden,19.99,19.99,2020-03-26
1227280,Despot's Game: Dystopian Battle Simulator,19.99,19.99,2022-09-29
1944570,Boneraiser Minions,4.99,4.99,2022-08-05
757320,Atomicrops,14.99,14.99,2020-09-17
1043260,Gladiator Guild Manager,9.99,9.99,2021-10-13
541200,GTTOD: Get To The Orange Door,14.99,14.99,2017-10-27
1304680,Voidigo,14.99,14.99,2021-02-25
1341490,Hellsweeper VR  VR Only,0.00,0.00,2023-06-01
1710100,Bing in Wonderland,8.99,8.99,2023-01-12
1724390,Power Chord,19.99,19.99,2023-01-26
1265820,Fights in Tight Spaces,24.99,24.99,2021-12-02
362490,Exanima,14.99,14.99,2015-04-29
2196790,Jianghu Survivor,6.99,6.99,2022-12-27
434650,Lost Castle / 失落城堡,9.99,9.99,2016-08-31
1315180,Spark in the Dark,0.00,0.00,2023-12-31
601840,Griftlands,19.99,19.99,2021-06-01
1946970,Isle of Arrows,12.99,12.99,2022-09-08
113200,The Binding of Isaac,4.99,4.99,2011-09-28
1402320,Medal of Honor™: Above and Beyond  VR Only,39.99,39.99,2020-12-10
249050,Dungeon of the ENDLESS™,11.99,11.99,2014-10-27
769560,月圆之夜 (Night of Full Moon),0.00,0.00,2019-07-25
2088160,天外武林 (Traveler of Wuxia),24.99,24.99,2023-01-05
2132850,Rabbit and Steel,0.00,0.00,2023-12-31
2099220,Mobmania,4.99,4.99,2022-08-18
2061150,Ikki Unite,11.99,11.99,2023-02-14
2185780,Return to abyss 重返深渊,4.99,3.79,2023-01-06
242680,Nuclear Throne,11.99,11.99,2015-12-05
1713810,Lumencraft,19.99,19.99,2022-04-13
2184150,Dead Matter,0.00,0.00,2023-06-01
1010820,Barony: Myths & Outcasts,3.99,3.99,2019-02-22
1347970,Patch Quest,14.99,14.99,2021-05-07
1638390,Indies' Lies,14.99,14.99,2023-01-15
690040,SUPERHOT: MIND CONTROL DELETE,24.99,24.99,2020-07-16
674930,Boyfriend Dungeon,19.99,19.99,2021-08-11
681280,Descenders,24.99,24.99,2019-05-07
282470,Don't Starve: Reign of Giants,4.99,4.99,2014-04-02
587520,Dungeons of Sundaria,19.99,14.99,2022-07-18
266510,Hand of Fate,19.99,4.99,2015-02-17
1253610,Knights of Braveland,14.99,14.99,2023-02-16
1188930,Chrono Ark,19.99,19.99,2019-12-19
1010821,Barony: Legends & Pariahs,3.99,3.99,2019-12-27
1000760,Foregone,19.99,19.99,2021-03-01
2024230,Project Lazarus,4.99,4.99,2022-06-23
857980,Void Bastards,29.99,29.99,2019-05-28
1625450,Muck,0.00,0.00,2021-06-05
2207480,HELLCARD: Prologue,0.00,0.00,2023-01-30
1638440,Gatedelvers,14.99,13.49,2023-02-20
580100,Darkest Dungeon®: The Crimson Court,9.99,9.99,2017-06-19
1895820,Greedventory,0.00,0.00,2023-04-20
596970,Sunless Skies: Sovereign Edition,24.99,24.99,2019-01-31
811320,Jupiter Hell,24.99,24.99,2021-08-05
1975580,Wild Woods,0.00,0.00,2023-12-31
774801,Crab Champions,0.00,0.00,2023-04-01
798490,Othercide,29.99,29.99,2020-07-27
1891700,Tap Ninja - Idle game,0.00,0.00,2022-03-17
304650,SUNLESS SEA,18.99,18.99,2015-02-06
1520760,Tyrant's Blessing,19.99,19.99,2022-08-08
1416050,Shovel Knight Dig,24.99,24.99,2022-09-23
1741400,Wander Hero,8.99,8.09,2023-01-11
2289280,Star Survivor - Prologue,0.00,0.00,2023-02-17
845890,Moonbreaker,29.99,29.99,2022-09-29
2216960,Super Psycho Baseball,4.99,4.99,2022-12-19
1138660,Black Book,24.99,24.99,2021-08-10
1140150,Touhou: Lost Branch of Legend,29.99,29.99,2022-08-17
357330,Space Beast Terror Fright,14.99,14.99,2022-06-03
1037020,ScourgeBringer,16.99,16.99,2020-10-21
1297490,Superior,24.99,24.99,2022-11-16
2116260,Relic Dudes,4.99,4.99,2023-02-03
239350,Spelunky,14.99,14.99,2013-08-08
1964200,Phantom Rose 2 Sapphire,0.00,0.00,2023-12-31
1199030,Tainted Grail: Conquest,19.99,19.99,2021-05-27
383840,Nimbatus - The Space Drone Constructor,19.99,19.99,2020-05-14
722730,Cogmind,19.99,19.99,2017-10-16
396750,EVERSPACE™  VR Supported,29.99,29.99,2017-05-25
1184820,Poker Quest: Swords and Spades,14.99,14.99,2022-11-14
2269320,Natti,7.99,7.99,2023-02-15
290470,Onigiri,0.00,0.00,2019-03-28
753420,Dungreed,9.99,9.99,2018-02-14
986040,The Unliving,16.99,16.99,2022-11-07
1914580,Spirit Hunters: Infinite Horde,4.99,4.99,2022-05-25
320040,Moon Hunters,14.99,14.99,2016-03-10
1918040,Army of Ruin,5.99,5.99,2022-10-27
554000,Crypt of the NecroDancer: AMPLIFIED,6.99,6.99,2017-01-24
1769170,Shattered Pixel Dungeon,9.99,9.99,2022-03-23
807120,Iratus: Lord of the Dead,29.99,29.99,2020-04-23
1889640,The Backrooms: Survival,6.99,6.99,2022-03-31
404250,Tales of Maj'Eyal - Embers of Rage,6.99,6.99,2016-02-23
1159560,Ziggurat 2,24.99,24.99,2021-10-28
1949190,Necrosmith,2.99,2.00,2022-07-13
