330020,Children of Morta,21.99,21.99,2019-09-03,3859|1716|1646|42804|3959|3843|12
1843760,Rogue Tower,14.99,14.99,2022-01-28,1645|9|1716|597|5125|4191|409
1234580,fullybroKEN - A Unique Mix of 4X / Post-Apocalypse / RPG / Roguelike,12.99,12.99,2020-03-06,493|1670|4486|3959|1665|1759|167
718670,Cultist Simulator,19.99,9.99,2018-05-31,12472|1666|1742|3959|4026|1667|1738
269210,Hero Siege,6.99,6.99,2014-01-29,122|42804|1646|3964|1716|3859|49
897670,Grim Dawn - Forgotten Gods Expansion,15.99,15.99,2019-03-27,122|21|492|19|1646|4345|423
606150,Moonlighter,19.99,19.99,2018-05-29,1646|3959|3964|1720|42804|1716|395
1809490,Gloomhaven - Jaws of the Lion,17.99,13.49,2022-05-17,9|122|21|177
1253920,Rogue Legacy 2,24.99,24.99,2022-04-28,1773|1628|1625|19|492|3959|2
1579880,The Light Brigade  VR Only,24.99,24.99,2023-02-22,21978|19|1774|3968|4182|3839|166
1147560,Skul: The Hero Slayer,19.99,19.99,2021-01-20,492|19|42804|3964|3959|3871|171
1734320,Brutal Orchestra,19.99,19.99,2021-12-17,122|9|3959|1716|1759|3871|1413
1286580,Ship of Fools,14.99,14.99,2022-11-22,1685|3959|1716|3859|19|3871|4280
1125240,Ancient Dungeon  VR Only,19.99,19.99,2021-11-03,21|21978|492|19|122|1720|171
1966900,20 Minutes Till Dawn,4.99,4.99,2022-06-07,493|42804|4885|4255|4637|7432|395
677120,Heroes of Hammerwatch,11.99,11.99,2018-03-01,3959|42804|3964|1685|122|3859|172
247080,Crypt of the NecroDancer,14.99,14.99,2015-04-23,1752|1716|1759|198631|1720|42804|402
692890,Roboquest,19.99,19.99,2020-08-20,493|1663|42804|3959|1685|3843|177
597170,Clone Drone in the Danger Zone,19.99,19.99,2021-07-27,5752|19|6506|4608|1743|3859|49
1280930,Astral Ascent,24.99,24.99,2022-04-12,3959|42804|3964|1646|5379|1625|1
615120,COMPOUND  VR Only,19.99,19.99,2022-07-19,19|3959|21978|492|4004|1774|166
1211600,ZED ZONE,0.00,0.00,2023-03-01,493|1662|1659|3835|1695|3810|164
2325780,Across The Obelisk: The Wolf Wars,0.00,0.00,2023-03-30,9|21|122|492|1666|1716|3232
788100,Neon Abyss,19.99,19.99,2020-07-14,1716|1625|4236|5125|4182|3964|471
1911360,Trinity Fusion,0.00,0.00,2023-04-13,493|42804|3959|1628|1716|29482|162
2087030,Shatterline,0.00,0.00,2022-09-08,19|1663|1774|3859|113|6730|62051
1434950,HighFleet,29.99,29.99,2021-07-27,4182|492|9|3835|6276|42804|170
1713810,Lumencraft,19.99,19.99,2023-02-28,3834|19|4231|3810|4064|9|164
333640,Caves of Qud,19.99,19.99,2015-07-15,1716|122|454187|3835|1759|5125|49
895870,Project Wingman  VR Supported,24.99,24.99,2020-12-01,15045|19|92092|492|1678|4168|177
981430,Gordian Quest,19.99,13.99,2022-06-23,122|3871|1666|791774|9|21|49
1284730,Successor,0.00,0.00,2023-12-31,3813|9|3959|17305|1676|1716|12
590380,Into the Breach,14.99,14.99,2018-02-27,9|1741|492|3964|14139|4821|171
1668290,Dungeons of Aether,14.99,14.99,2023-02-28,9|1741|3964|3959|1777|4325|418
1265820,Fights in Tight Spaces,24.99,22.49,2021-12-02,9|19|32322|14139|4325|6915|166
2068280,Nordic Ashes: Survivors of Ragnarok,4.99,4.49,2022-12-15,493|42804|3959|5547|4885|4637|59
1016600,Devil Slayer - Raksasi,14.99,14.99,2021-04-22,4026|42804|19|4791|7208|21|395
2009860,Tower Escape,7.99,7.99,2023-02-15,9|1716|1645|916648|32322|1084988|49
1296830,暖雪 Warm Snow,17.99,17.99,2022-01-18,42804|19|122|1716|16094|4604|474
212680,FTL: Faster Than Light,9.99,9.99,2012-09-14,1716|1755|9|3942|492|4182|175
1062810,Inkbound,0.00,0.00,2023-05-22,493|21725|14139|3959|6730|17305|174
528230,SYNTHETIK: Legion Rising,19.99,19.99,2018-03-15,3959|4637|492|19|42804|3843|402
1668690,Alina of the Arena,14.99,14.99,2022-10-13,1091588|1716|14139|1717|1666|3959|
1123770,Curse of the Dead Gods,19.99,19.99,2021-02-23,42804|4604|5851|19|4026|1743|395
2187290,Wall World,0.00,0.00,2023-04-05,3959|5981|1645|9|1716|5125|383
248820,Risk of Rain,9.99,9.99,2013-11-08,42804|1716|492|1625|19|3964|175
1282730,Loop Hero,14.99,14.99,2021-03-04,1708|1716|32322|6426|3964|492|395
2137760,Crafty Survivors,3.99,3.99,2023-03-15,493|42804|1702|1716|4885|3959|748
1150530,Wizard with a Gun,0.00,0.00,2023-12-31,19|21|42804|4106|3810|1716|172
1286350,BPM: BULLETS PER MINUTE,19.99,19.99,2020-09-15,1663|1752|19|1716|492|21|177
1803400,Beneath Oresa,24.99,18.74,2022-11-03,493|1091588|32322|1666|9|1716|419
858210,Nova Drift,17.99,17.99,2019-03-27,42804|492|1755|3959|19|1773|177
1566200,Tape to Tape,0.00,0.00,2023-12-31,324176|701|3959|1773|4004|4195|1247
489520,Minion Masters,0.00,0.00,2019-05-24,3813|1676|3859|1685|791774|113|1730
2088570,Tiny Rogues,5.99,5.99,2022-09-23,42804|4885|4637|4026|4711|1720|410
1076200,Roguebook,24.99,24.99,2021-06-17,122|791774|32322|492|1666|1716|395
1457080,The Mageseeker: A League of Legends Story™,29.99,29.99,2023-04-18,122|3871|3964|1646|4182|4106|168
307110,We Need To Go Deeper,15.99,15.99,2019-08-01,1685|3871|3959|7432|6815|3859|915
1579020,Golfie,17.99,17.99,2023-01-19,4747|3877|1716|32322|22955|3859|166
2119270,Black Reliquary,0.00,0.00,2023-03-24,9|122|492|1716|1741|14139|387
1029210,30XX,19.99,16.99,2021-02-17,493|42804|3798|5379|3959|1759|162
1601740,Corpse Keeper,19.99,19.99,2023-02-14,493|4231|4342|1684|4182|4191|164
580100,Darkest Dungeon®: The Crimson Court,9.99,9.99,2017-06-19,9|122|492|7432|4325|1720|418
1266840,The Last Stand: Aftermath,24.99,24.99,2021-11-16,1659|1662|3835|4637|3959|1774|4280
1989070,Synergy,0.00,0.00,2023-12-31,4328|220585|1662|3810|3834|4166|430
2197700,Gatekeeper: Eclipse,0.00,0.00,2023-02-27,19|3959|1716|1774|1662|3814|4280
323220,Vagante,14.99,14.99,2018-02-21,3959|42804|3964|1716|122|922563|49
1866880,Cultivation Story: Reincarnation,9.99,9.99,2023-01-30,122|42804|19|4885|3959|1716|387
1608191,Devil Slayer - Raksasi: Incarnation of Darkness,6.99,6.29,2023-03-23,19|21|492|1716|3959|4604|479
960690,One Step From Eden,19.99,19.99,2020-03-26,42804|3959|4026|791774|32322|19|471
